source_order_id,input_weight,scheduled_weight,passed
0005000575-000020,20.0,20.0,True
0010018206-000010,31.76,31.76,True
0010018206-000080,8.26,8.26,True
0010019618-000010,198.0,198.0,True
0010019618-000020,192.0,192.0,True
0010019680-000010,48.0,48.0,True
0010019680-000020,69.0,69.0,True
0010019680-000030,48.0,48.0,True
0010019718-000010,58.0,58.0,True
0010019718-000020,58.0,58.0,True
0010019718-000030,131.46,131.46,True
0010019718-000040,144.0,144.0,True
0010019718-000050,96.0,96.0,True
0010019881-000010,24.0,24.0,True
0010019881-000020,24.0,24.0,True
0010019881-000030,26.0,26.0,True
0010019881-000040,96.0,96.0,True
0010019881-000050,26.0,26.0,True
0010019881-000060,96.0,96.0,True
0010020206-000010,58.48,58.48,True
0010020206-000030,110.0,110.0,True
0010020206-000070,143.49,143.49,True
0010020206-000080,122.45,122.45,True
0010020206-000090,52.98,52.98,True
0010020206-000100,95.94,95.94,True
0010020206-000110,117.45,117.45,True
0030117110-000010,13.2,13.2,True
0030117110-000020,21.51,21.51,True
0030117110-000090,4.67,4.67,True
0030117283-000020,3.44,3.44,True
0030117283-000030,13.32,13.32,True
0030117284-000030,13.54,13.54,True
0030117285-000070,12.8,12.8,True
0030117932-000010,99.77,99.77,True
0030117933-000010,10.9,10.9,True
0030117976-000020,7.91,7.91,True
0030118006-000010,55.45,55.45,True
0030118006-000020,29.28,29.28,True
0030118006-000070,43.72,43.72,True
0030118093-000010,122.84,122.84,True
0030118093-000020,135.54,135.54,True
0030118093-000030,13.15,13.15,True
0030118093-000060,31.46,31.46,True
0030118261-000010,57.02,57.02,True
0030118632-000010,16.85,16.85,True
0030118641-000010,22.03,22.03,True
0030118641-000020,6.04,6.04,True
0030118799-000010,7.55,7.55,True
0030118802-000010,14.77,14.77,True
0030118921-000020,23.0,23.0,True
0030118934-000010,130.44,130.44,True
0030118934-000020,238.96,238.96,True
0030118934-000050,15.37,15.37,True
0030118934-000060,188.59,188.59,True
0030118957-000010,48.0,48.0,True
0030118966-000010,31.64,31.64,True
0030119031-000020,26.67,26.67,True
0030119032-000020,10.4,10.4,True
0030119041-000020,16.85,16.85,True
0030119098-000010,22.98,22.98,True
0030119098-000060,24.0,24.0,True
0030119183-000010,1.02,1.02,True
0030119215-000010,22.0,22.0,True
0030119597-000010,7.08,7.08,True
0030119860-000010,38.27,38.27,True
0030119860-000030,56.58,56.58,True
0030119860-000040,180.24,180.24,True
0030119866-000010,27.97,27.97,True
0030119938-000310,72.86,72.86,True
0030119938-000320,24.6,24.6,True
0030119938-000330,95.14,95.14,True
0030119938-000340,48.0,48.0,True
0030119945-000140,24.0,24.0,True
0030119959-000010,23.0,23.0,True
0030120049-000040,24.0,24.0,True
0030120727-000030,300.0,300.0,True
0030120745-000010,12.99,12.99,True
0030120757-000020,17.37,17.37,True
0030120757-000040,25.98,25.98,True
0030120757-000050,24.0,24.0,True
0030120817-000050,50.0,50.0,True
0030120865-000010,50.0,50.0,True
0030120882-000010,110.0,110.0,True
0030120939-000060,23.45,23.45,True
0030120939-000070,23.0,23.0,True
0030120939-000080,46.0,46.0,True
0030120939-000090,24.0,24.0,True
0030120939-000100,48.0,48.0,True
0030120940-000030,18.0,18.0,True
0030120940-000110,8.66,8.66,True
0030120940-000120,20.15,20.15,True
0030120951-000010,32.24,32.24,True
0030120974-000030,23.0,23.0,True
0030121196-000020,24.0,24.0,True
0030121196-000030,46.91,46.91,True
0030121327-000010,24.0,24.0,True
0030121346-000020,48.0,48.0,True
0030121432-000010,48.0,48.0,True
0030121501-000010,25.11,25.11,True
0030121690-000010,23.0,23.0,True
0030121690-000040,11.87,11.87,True
0030121724-000020,195.2,195.2,True
0030121799-000010,168.0,168.0,True
0030122066-000020,24.0,24.0,True
0030122066-000070,24.0,24.0,True
0030122080-000010,14.4,14.4,True
0030122086-000010,48.0,48.0,True
0030122476-000030,24.0,24.0,True
0030122476-000040,16.09,16.09,True
0030122476-000050,8.0,8.0,True
0030122476-000060,8.92,8.92,True
0030122476-000070,24.0,24.0,True
0030122476-000080,8.0,8.0,True
0030122480-000040,72.0,72.0,True
0030122480-000070,108.0,108.0,True
0030122480-000080,69.0,69.0,True
0030122480-000090,22.0,22.0,True
0030122480-000100,154.0,154.0,True
0030122480-000110,110.0,110.0,True
0030122488-000010,110.0,110.0,True
0030122488-000020,96.0,96.0,True
0030122488-000030,110.0,110.0,True
0030122647-000550,72.0,72.0,True
0030122647-000560,72.0,72.0,True
0030122647-000570,48.0,48.0,True
0030122647-000580,48.0,48.0,True
0030122647-000590,48.0,48.0,True
0030122759-000010,22.0,22.0,True
0030122759-000020,22.0,22.0,True
0030122759-000030,88.0,88.0,True
0030122760-000020,18.35,18.35,True
0030122897-000010,24.0,24.0,True
0030122897-000030,24.0,24.0,True
0030122897-000040,24.0,24.0,True
0030122897-000050,24.0,24.0,True
0030122897-000060,72.0,72.0,True
0030122897-000070,24.0,24.0,True
0030122897-000090,48.0,48.0,True
0030122897-000100,96.0,96.0,True
0030122898-000010,50.0,50.0,True
0030122898-000020,19.26,19.26,True
0030122898-000030,96.0,96.0,True
0030122898-000040,240.0,240.0,True
0030122899-000010,60.0,60.0,True
0030122899-000020,187.98,187.98,True
0030122899-000030,170.0,170.0,True
0030122899-000050,240.0,240.0,True
0030123053-000010,48.0,48.0,True
0030123141-000010,50.0,50.0,True
0030123141-000020,100.0,100.0,True
0030123142-000010,312.0,312.0,True
0030123142-000020,182.0,182.0,True
0030123142-000030,132.0,132.0,True
0030123142-000040,156.0,156.0,True
0030123143-000010,52.0,52.0,True
0030123143-000020,104.0,104.0,True
0030123143-000030,175.0,175.0,True
0030123143-000040,67.97,67.97,True
0030123143-000050,13.39,13.39,True
0030123143-000060,78.0,78.0,True
0030123143-000070,88.0,88.0,True
0030123145-000010,51.02,51.02,True
0030123145-000020,21.43,21.43,True
0030123255-000010,92.0,92.0,True
0030123255-000020,46.0,46.0,True
0030123255-000030,36.0,36.0,True
0030123256-000010,100.0,100.0,True
0030123256-000020,92.21,92.21,True
0030123256-000030,46.0,46.0,True
0030123256-000040,69.0,69.0,True
0030123425-000010,132.0,132.0,True
0030123425-000020,130.0,130.0,True
0030123508-000010,138.0,138.0,True
0030123646-000010,12.0,12.0,True
0030123647-000010,6.15,6.15,True
0030123653-000010,96.0,96.0,True
0030123653-000020,24.0,24.0,True
0030123653-000030,48.0,48.0,True
0030123653-000040,48.0,48.0,True
0030123653-000050,120.0,120.0,True
0030123653-000060,96.0,96.0,True
0030123654-000010,48.0,48.0,True
0030123654-000020,48.0,48.0,True
0030123654-000030,24.0,24.0,True
0030123916-000010,23.0,23.0,True
0030123916-000020,23.0,23.0,True
