source_order_id,input_weight,output_weight,piece_count,passed
0030124735-000130,24,24.0,1,True
0030124683-000030,48,48.0,1,True
0030124731-000020,54,54.0,1,True
0030124731-000010,48,48.0,1,True
0030124683-000050,23,23.0,1,True
0030124735-000060,24,24.0,1,True
0030124683-000020,48,48.0,1,True
0030124457-000020,24,24.0,1,True
0030124457-000010,44,44.0,1,True
0030124567-000010,24,24.0,1,True
0030124440-000040,24,24.0,1,True
0030124440-000030,24,24.0,1,True
0030124440-000020,23,23.0,1,True
0030124397-000030,24,24.0,1,True
0002002187-000010,25,25.0,1,True
0002002187-000020,25,25.0,1,True
0030124207-000010,24,24.0,1,True
0030124207-000020,24,24.0,1,True
0030124199-000010,26,26.0,1,True
0002002170-000020,69,69.0,1,True
0002002202-000160,19,19.0,1,True
0002002202-000140,23,23.0,1,True
0002002170-000250,69,69.0,1,True
0002002202-000120,23,23.0,1,True
0002002184-000170,23,23.0,1,True
0002002202-000150,25,25.0,1,True
0002002202-000010,19,19.0,1,True
0002002170-000140,16,16.0,1,True
0002002184-000010,23,23.0,1,True
0002002170-000340,23,23.0,1,True
0002002170-000420,23,23.0,1,True
0002002202-000130,23,23.0,1,True
0002002202-000090,138,138.0,1,True
0002002170-000130,55,55.0,1,True
0002002170-000240,80,80.0,1,True
0002002170-000010,23,23.0,1,True
0002002202-000180,19,19.0,1,True
0002002202-000100,19,19.0,1,True
0002002202-000040,23,23.0,1,True
0002002202-000170,19,19.0,1,True
0002002202-000050,25,25.0,1,True
0002002202-000190,23,23.0,1,True
0002002170-000170,100,100.0,1,True
0002002170-000090,25,25.0,1,True
0002002185-000140,30,30.0,1,True
0002002170-000370,23,23.0,1,True
0030124170-000010,69,69.0,1,True
0002002170-000160,23,23.0,1,True
0002002184-000040,92,92.0,1,True
0002002170-000430,23,23.0,1,True
0002002170-000350,23,23.0,1,True
0002002184-000090,30,30.0,1,True
0002002185-000130,23,23.0,1,True
0002002185-000030,23,23.0,1,True
0002002202-000070,16,16.0,1,True
0002002170-000190,40,40.0,1,True
0002002184-000190,64,64.0,1,True
0002002184-000030,23,23.0,1,True
0002002170-000360,40,40.0,1,True
0002002202-000230,19,19.0,1,True
0002002184-000160,16,16.0,1,True
0002002185-000080,40,40.0,1,True
0002002202-000060,46,46.0,1,True
0002002170-000180,46,46.0,1,True
0002002185-000070,92,92.0,1,True
0002002170-000200,126.53,126.53,1,True
0002002184-000020,16,16.0,1,True
0002002169-000010,25,25.0,1,True
0002002202-000280,19,19.0,1,True
0002002170-000330,23,23.0,1,True
0002002185-000010,23,23.0,1,True
0002002170-000230,23,23.0,1,True
0002002202-000270,23,23.0,1,True
0002002185-000090,1.97,1.97,1,True
0002002202-000110,23,23.0,1,True
0002002202-000030,23,23.0,1,True
0002002170-000060,32,32.0,1,True
0002002170-000030,23,23.0,1,True
0002002185-000050,23,23.0,1,True
0002002170-000210,45.97,45.97,1,True
0002002170-000270,46,46.0,1,True
0002002184-000210,25,25.0,1,True
0002002185-000120,23,23.0,1,True
0002002185-000040,40,40.0,1,True
0002002170-000150,23,23.0,1,True
0002002170-000070,16,16.0,1,True
0002002170-000050,23,23.0,1,True
0002002170-000280,19,19.0,1,True
0002002170-000260,23,23.0,1,True
0002002184-000200,91.34,91.34,1,True
0002002184-000080,23,23.0,1,True
0002002170-000380,20,20.0,1,True
0002002170-000320,23,23.0,1,True
0002002202-000260,15.93,15.93,1,True
0002002185-000060,23,23.0,1,True
0002002184-000060,23,23.0,1,True
0002002169-000030,30,30.0,1,True
0002002202-000240,19,19.0,1,True
0002002185-000020,23,23.0,1,True
0002002202-000080,23,23.0,1,True
0002002202-000220,23,23.0,1,True
0002002170-000290,50,50.0,1,True
0002002170-000310,23,23.0,1,True
0002002185-000150,16,16.0,1,True
0002002185-000100,23,23.0,1,True
0002002202-000020,23,23.0,1,True
0002002170-000080,23,23.0,1,True
0002002170-000040,23,23.0,1,True
0002002184-000130,19,19.0,1,True
0002002202-000300,30,30.0,1,True
0002002185-000110,19,19.0,1,True
0002002184-000220,23,23.0,1,True
0002002170-000120,23,23.0,1,True
0002002170-000220,46,46.0,1,True
0002002202-000210,8.21,8.21,1,True
0002002202-000200,19,19.0,1,True
0002002170-000410,23,23.0,1,True
0002002170-000300,23,23.0,1,True
0002002202-000290,16,16.0,1,True
0030124081-000010,48,48.0,1,True
0030124078-000010,44,44.0,1,True
0030123936-000020,327.94,327.94,1,True
0030123916-000020,23,23.0,1,True
0030123916-000040,23,23.0,1,True
0030123936-000010,182,182.0,1,True
0030123916-000030,69,69.0,1,True
0030123916-000010,23,23.0,1,True
0030123647-000010,6.15,6.15,1,True
0030123646-000010,12,12.0,1,True
0002002193-000020,260,260.0,1,True
0002002193-000030,52,52.0,1,True
0002002193-000040,104,104.0,1,True
0002002195-000050,48,48.0,1,True
0002002195-000170,24,24.0,1,True
0002002195-000080,190,190.0,1,True
0002002195-000030,22,22.0,1,True
0002002195-000140,72,72.0,1,True
0010020206-000090,52.98,52.98,1,True
0002002195-000250,24,24.0,1,True
0002002195-000190,24,24.0,1,True
0010020206-000080,122.45,122.45,1,True
0002002195-000040,64.87,64.87,1,True
0002002195-000020,44,44.0,1,True
0002002195-000180,25,25.0,1,True
0002002195-000100,230,230.0,1,True
0002002195-000090,48,48.0,1,True
0002002195-000210,8.86,8.86,1,True
0002002195-000230,24,24.0,1,True
0002002195-000200,24,24.0,1,True
0010020206-000010,58.48,58.48,1,True
0010020206-000030,110,110.0,1,True
0002002195-000060,61.96,61.96,1,True
0002002195-000010,10,10.0,1,True
0002002195-000160,635,635.0,1,True
0002002195-000070,145,145.0,1,True
0002002195-000220,80,80.0,1,True
0010020206-000100,95.94,95.94,1,True
0002002195-000240,24,24.0,1,True
0002002195-000110,110,110.0,1,True
0010020206-000070,143.49,143.49,1,True
0002002195-000120,72,72.0,1,True
0002002195-000150,175,175.0,1,True
0010020206-000110,117.45,117.45,1,True
0030123653-000060,96,96.0,1,True
0030123653-000020,24,24.0,1,True
0030123653-000030,48,48.0,1,True
0030123653-000050,120,120.0,1,True
0030123653-000010,96,96.0,1,True
0030123653-000040,48,48.0,1,True
0030123508-000010,138,138.0,1,True
0002002177-000030,15,15.0,1,True
0002002177-000020,15,15.0,1,True
0002002177-000010,30,30.0,1,True
0002002180-000140,20,20.0,1,True
0030123425-000010,132,132.0,1,True
0002002180-000030,89,89.0,1,True
0002002180-000350,20,20.0,1,True
0002002179-000010,41,41.0,1,True
0002002180-000360,17.08,17.08,1,True
0002002180-000050,20,20.0,1,True
0002002180-000270,20,20.0,1,True
0002002180-000130,34,34.0,1,True
0002002180-000170,20,20.0,1,True
0002002180-000340,20,20.0,1,True
0002002180-000160,20,20.0,1,True
0002002180-000060,20,20.0,1,True
0002002180-000040,20,20.0,1,True
0002002180-000280,20,20.0,1,True
0030123425-000020,130,130.0,1,True
0002002180-000380,20,20.0,1,True
0002002180-000010,39,39.0,1,True
0002002176-000100,23,23.0,1,True
0002002176-000230,15,15.0,1,True
0002002176-000160,13.76,13.76,1,True
0002002176-000170,17,17.0,1,True
0002002176-000120,25,25.0,1,True
0002002176-000080,15,15.0,1,True
0002002176-000010,15,15.0,1,True
0002002176-000110,35,35.0,1,True
0002002176-000210,15,15.0,1,True
0002002176-000150,23,23.0,1,True
0002002176-000180,15,15.0,1,True
0002002176-000190,15,15.0,1,True
0002002176-000240,69,69.0,1,True
0002002176-000140,23,23.0,1,True
0002002176-000070,100,100.0,1,True
0002002176-000030,15,15.0,1,True
0002002176-000220,15,15.0,1,True
0002002176-000090,20,20.0,1,True
0002002176-000200,15,15.0,1,True
0030123255-000030,36,36.0,1,True
0030123256-000030,46,46.0,1,True
0030123256-000010,100,100.0,1,True
0030123256-000020,92.21,92.21,1,True
0030123255-000020,46,46.0,1,True
0030123255-000010,92,92.0,1,True
0030123256-000040,69,69.0,1,True
0030123141-000020,100,100.0,1,True
0030123141-000010,50,50.0,1,True
0010019881-000020,24,24.0,1,True
0030123142-000030,132,132.0,1,True
0010019881-000060,96,96.0,1,True
0030123143-000040,67.97,67.97,1,True
0030123142-000040,156,156.0,1,True
0010019881-000030,26,26.0,1,True
0010019881-000010,24,24.0,1,True
0030123143-000050,13.39,13.39,1,True
0030123143-000030,175,175.0,1,True
0030123145-000010,51.02,51.02,1,True
0010019881-000050,26,26.0,1,True
0010019881-000040,96,96.0,1,True
0030123143-000010,52,52.0,1,True
0030123143-000020,104,104.0,1,True
0030123142-000010,312,312.0,1,True
0030123142-000020,182,182.0,1,True
0030123143-000060,78,78.0,1,True
0030123145-000020,21.43,21.43,1,True
0030123143-000070,88,88.0,1,True
0030123053-000010,48,48.0,1,True
0002002162-000110,24,24.0,1,True
0030122898-000040,240,240.0,1,True
0030122897-000010,24,24.0,1,True
0030122899-000030,170,170.0,1,True
0030122897-000100,96,96.0,1,True
0030122899-000010,60,60.0,1,True
0002002162-000100,24,24.0,1,True
0030122898-000030,96,96.0,1,True
0030122899-000020,187.98,187.98,1,True
0002002162-000010,72,72.0,1,True
0030122897-000040,24,24.0,1,True
0030122897-000030,24,24.0,1,True
0030122897-000060,72,72.0,1,True
0002002162-000080,18,18.0,1,True
0002002162-000040,168,168.0,1,True
0030122898-000020,19.26,19.26,1,True
0030122898-000010,50,50.0,1,True
0030122897-000090,48,48.0,1,True
0030122897-000050,24,24.0,1,True
0002002162-000070,18,18.0,1,True
0030122899-000050,240,240.0,1,True
0030122897-000070,24,24.0,1,True
0010019718-000050,96,96.0,1,True
0010019718-000030,131.46,131.46,1,True
0010019718-000040,144,144.0,1,True
0010019718-000020,58,58.0,1,True
0010019718-000010,58,58.0,1,True
0010019680-000020,69,69.0,1,True
0010019680-000010,48,48.0,1,True
0010019680-000030,48,48.0,1,True
0005000563-000030,63,63.0,1,True
0005000563-000170,48,48.0,1,True
0005000563-000090,21,21.0,1,True
0030122759-000020,22,22.0,1,True
0030122760-000020,18.35,18.35,1,True
0030122759-000010,22,22.0,1,True
0005000563-000240,16,16.0,1,True
0030122759-000030,88,88.0,1,True
0005000563-000210,21,21.0,1,True
0005000563-000130,42,42.0,1,True
0005000563-000290,20,20.0,1,True
0005000563-000220,18.22,18.22,1,True
0005000563-000270,18,18.0,1,True
0005000563-000280,21,21.0,1,True
0030122647-000580,48,48.0,1,True
0030122647-000560,72,72.0,1,True
0030122647-000570,48,48.0,1,True
0030122647-000550,72,72.0,1,True
0030122647-000590,48,48.0,1,True
0002002152-000010,23,23.0,1,True
0005000562-000050,23,23.0,1,True
0030122488-000020,96,96.0,1,True
0030122488-000030,110,110.0,1,True
0010019618-000010,198,198.0,1,True
0030122488-000010,110,110.0,1,True
0010019618-000020,192,192.0,1,True
0030122480-000090,22,22.0,1,True
0030122476-000030,24,24.0,1,True
0030122480-000080,69,69.0,1,True
0030122480-000110,110,110.0,1,True
0030122480-000100,154,154.0,1,True
0030122476-000080,8,8.0,1,True
0030122480-000070,108,108.0,1,True
0030122476-000070,24,24.0,1,True
0030122476-000040,16.09,16.09,1,True
0030122476-000060,8.92,8.92,1,True
0030122476-000050,8,8.0,1,True
0030122480-000040,72,72.0,1,True
0030122080-000010,14.4,14.4,1,True
0002002148-000010,300,300.0,1,True
0030121799-000010,168,168.0,1,True
0002002074-000010,150,150.0,1,True
0002002073-000010,600,600.0,2,True
0030124871-000100,210,210.0,1,True
0030124871-000080,60,60.0,1,True
