artifact_kind,publishable,node_id,source_order_id,source_resource_id,source_period,assigned_period,chain_id,chain_sequence,node_sequence,weight,width,thickness,min_temperature,max_temperature,grade,grade_class,hot_roll_grade,soft_hard_class,material_role,split_lineage,virtual_lineage,width_warning,thickness_warning,temperature_warning,chain_warning,business_warning
diagnostic_candidate,False,0005000563-000220,0005000563-000220,0005000563-000220,BR_00000006,BR_00000001,numeric-chain-000013,1,34,18.22,928,1.2,820,840,CR210BH,加磷高强、烘烤硬化钢,H220BH,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0030122480-000070,0030122480-000070,0030122480-000070,BR_00000006,BR_00000001,numeric-chain-000013,1,35,108,905,1.2,820,840,DX53D+Z,IF钢,SPHETI-5,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0005000563-000240,0005000563-000240,0005000563-000240,BR_00000006,BR_00000001,numeric-chain-000013,1,36,16,900,1.2,830,850,CR3,IF钢,SPHETI-36,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0005000563-000170,0005000563-000170,0005000563-000170,BR_00000006,BR_00000001,numeric-chain-000013,1,37,48,900,1.2,830,850,CR180BH,加磷高强、烘烤硬化钢,H180BH,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0030121196-000030,0030121196-000030,0030121196-000030,BR_00000002,BR_00000001,numeric-chain-000000,2,1,46.91,1500,0.7,770,790,HC340/590DPD+Z,双相钢,W590X4,硬钢,normal_real,,,,,,,
diagnostic_candidate,False,virtual-000064,,,,BR_00000001,numeric-chain-000000,2,2,20.00,1500,0.60,770,840,SPHC,,SPHC,,virtual_sphc,,"{""accepted_sequence"":64,""prototype_id"":""virtual_sphc:1500x0.6"",""purpose"":""edge_bridge"",""related_partition_id"":null}",,,,,
diagnostic_candidate,False,0030123255-000020,0030123255-000020,0030123255-000020,BR_00000006,BR_00000001,numeric-chain-000000,2,3,46,1500,0.65,820,840,HC180BD+Z,加磷高强、烘烤硬化钢,H180BH1,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0030123256-000030,0030123256-000030,0030123256-000030,BR_00000006,BR_00000001,numeric-chain-000000,2,4,46,1490,0.65,820,840,HC180BD+Z,加磷高强、烘烤硬化钢,H180BH1,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0030123142-000010,0030123142-000010,0030123142-000010,BR_00000006,BR_00000001,numeric-chain-000000,2,5,312,1465,0.7,830,850,SCG4+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0030120049-000040,0030120049-000040,0030120049-000040,BR_00000001,BR_00000001,numeric-chain-000000,2,6,24,1440,0.7,830,850,DC56D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0002002055-000100,0002002055-000100,0002002055-000100,BR_00000001,BR_00000001,numeric-chain-000000,2,7,18.26,1413,0.6,820,840,DX53D+Z-MD,IF钢,SPHETI-5,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0030124683-000030,0030124683-000030,0030124683-000030,BR_00000006,BR_00000001,numeric-chain-000000,2,8,48,1410,0.8,830,850,DC56D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0030121799-000010,0030121799-000010,0030121799-000010,BR_00000006,BR_00000001,numeric-chain-000000,2,9,168,1395,0.6,830,850,DC54D+Z,IF钢,SPHETI-5,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0030121346-000020,0030121346-000020,0030121346-000020,BR_00000002,BR_00000001,numeric-chain-000000,2,10,48,1393,0.5,820,840,DX53D+Z,IF钢,SPHETI-5,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0010019718-000010,0010019718-000010,0010019718-000010,BR_00000006,BR_00000001,numeric-chain-000000,2,11,58,1350,0.5,700,840,DC51D+Z,普碳,SPHC,软钢,actual_transition,,,,,,,
diagnostic_candidate,False,0030119098-000010,0030119098-000010,0030119098-000010,BR_00000001,BR_00000001,numeric-chain-000000,2,12,22.98,1306,0.4,700,840,DC51D+Z,普碳,SPHC,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0002002054-000270,0002002054-000270,0002002054-000270,BR_00000001,BR_00000001,numeric-chain-000000,2,13,12.7,1258,0.4,815,835,DX51D+Z-MD,普碳,SPHC,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0002002055-000010,0002002055-000010,0002002055-000010,BR_00000001,BR_00000001,numeric-chain-000000,2,14,70.55,1250,0.5,815,835,DX51D+Z-MD,普碳,SPHC,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0002002054-000350,0002002054-000350,0002002054-000350,BR_00000001,BR_00000001,numeric-chain-000000,2,15,98.97,1250,0.5,815,835,DX51D+Z-MD,普碳,SPHC,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0002002054-000320,0002002054-000320,0002002054-000320,BR_00000001,BR_00000001,numeric-chain-000000,2,16,23,1235,0.5,820,840,DX53D+Z-CD,IF钢,SPHETI-5,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0002002054-000340,0002002054-000340,0002002054-000340,BR_00000001,BR_00000001,numeric-chain-000000,2,17,102.32,1150,0.6,815,835,DX51D+Z-MD,普碳,SPHC,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0002002054-000260,0002002054-000260,0002002054-000260,BR_00000001,BR_00000001,numeric-chain-000000,2,18,293.39,1150,0.6,820,840,DX53D+Z-MD,IF钢,SPHETI-5,软钢,normal_real,,,,,,,
diagnostic_candidate,False,0002002054-000040,0002002054-000040,0002002054-000040,BR_00000001,BR_00000001,numeric-chain-000000,2,19,36.52,1150,0.5,815,835,DX51D+Z-MD,普碳,SPHC,软钢,normal_real,,,,,,,
diagnostic_candidate,False,split-000001:piece:0001,0002002055-000120,0002002055-000120,BR_00000001,BR_00000001,numeric-chain-000000,2,20,500.00,1150,0.6,820,840,DX53D+Z-MD,IF钢,SPHETI-5,软钢,normal_real,"{""accepted_source_sequence"":1,""authorization_decision_fingerprint"":""a9c31e2908e62cb7d72c5f645d0a3a65924b080d87878320ff92dbf90864f753"",""authorization_rule_id"":""controlled_order_split"",""authorization_rule_version"":""1"",""origin_assigned_period"":""BR_00000001"",""parent_node_id"":""0002002055-000120"",""parent_source_order_id"":""0002002055-000120"",""parent_weight"":570.3,""partition_id"":""partition-804d073342a1e86484d60a661bac4d98a34a718edcdf99fd2e2b71462b662c2c"",""piece_count"":2,""piece_index"":1,""reason_code"":""same_period_split"",""source_period"":""BR_00000001"",""source_resource_id"":""0002002055-000120"",""split_mode"":""same_period_split"",""target_assigned_period"":""BR_00000001""}",,,,,,
diagnostic_candidate,False,0030122898-000030,0030122898-000030,0030122898-000030,BR_00000006,BR_00000001,numeric-chain-000027,3,1,96,1500,2.5,700,720,DC51D+Z,普碳,SPHC,软钢,actual_transition,,,,,,,
diagnostic_candidate,False,0030121724-000020,0030121724-000020,0030121724-000020,BR_00000002,BR_00000001,numeric-chain-000027,3,2,195.2,1250,2.5,700,720,DC51D+Z,普碳,SPHC,软钢,actual_transition,,,,,,,
