artifact_kind,publishable,node_id,source_order_id,source_resource_id,source_period,assigned_period,chain_id,chain_sequence,node_sequence,weight,width,thickness,min_temperature,max_temperature,grade,grade_class,hot_roll_grade,soft_hard_class,material_role,split_lineage,virtual_lineage,width_warning,thickness_warning,temperature_warning,chain_warning,business_warning
diagnostic_candidate,True,0030119031-000020,0030119031-000020,0030119031-000020,BR_00000001,BR_00000001,numeric-chain-000028,5,1,450,1055,0.95,820,840,DX53D+Z,IF钢,SPHETI-5,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0030118093-000060,0030118093-000060,0030118093-000060,BR_00000001,BR_00000001,numeric-chain-000028,5,2,44,1048,0.8,820,840,DC53D+Z,IF钢,SPHETI-5,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0002002006-000230,0002002006-000230,0002002006-000230,BR_00000001,BR_00000001,numeric-chain-000028,5,3,84,1020,0.6,810,830,180YD+Z,加磷高强、烘烤硬化钢,H180YD,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0030124457-000010,0030124457-000010,0030124457-000010,BR_00000006,BR_00000001,numeric-chain-000028,5,4,44,1001,0.6,820,840,DX53D+Z,IF钢,SPHETI-5,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0002002170-000170,0002002170-000170,0002002170-000170,BR_00000006,BR_00000001,numeric-chain-000028,5,5,100,1000,0.65,810,830,180YD+Z,加磷高强、烘烤硬化钢,H180YD,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0030122898-000010,0030122898-000010,0030122898-000010,BR_00000006,BR_00000001,numeric-chain-000028,5,6,50,1000,0.8,700,840,DC51D+Z,普碳,SPHC,软钢,actual_transition,,,,,,,
diagnostic_candidate,True,0002002185-000150,0002002185-000150,0002002185-000150,BR_00000006,BR_00000001,numeric-chain-000028,5,7,16,990,0.6,770,810,DC51D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0002002170-000280,0002002170-000280,0002002170-000280,BR_00000006,BR_00000001,numeric-chain-000028,5,8,19,971,0.65,770,810,DC51D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0002002170-000380,0002002170-000380,0002002170-000380,BR_00000006,BR_00000001,numeric-chain-000028,5,9,20,960,0.65,770,810,DC51D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0002002009-000020,0002002009-000020,0002002009-000020,BR_00000001,BR_00000001,numeric-chain-000028,5,10,34,828,0.65,770,810,DC51D+Z,普碳,SPHC,软钢,normal_real,,,,,,,
