chain_id,assigned_period,position,node_id,source_order_id,source_resource_id,source_period,material_role,weight,width,thickness,min_temperature,max_temperature,grade,partition_id,piece_index,virtual_prototype_id,virtual_purpose,virtual_accepted_sequence,related_partition_id
initial-000016,BR_00000001,8,0002002195-000150,0002002195-000150,0002002195-000150,BR_00000006,normal_real,175.0,1490.0,0.65,770.0,810.0,DC51D+Z,,,,,,
initial-000016,BR_00000001,9,0002002162-000010,0002002162-000010,0002002162-000010,BR_00000006,normal_real,72.0,1470.0,0.65,770.0,810.0,DC51D+Z,,,,,,
initial-000016,BR_00000001,10,0002002176-000030,0002002176-000030,0002002176-000030,BR_00000006,normal_real,15.0,1465.0,0.65,770.0,810.0,DC51D+Z,,,,,,
initial-000016,BR_00000001,11,0002002195-000140,0002002195-000140,0002002195-000140,BR_00000006,normal_real,72.0,1463.0,0.65,770.0,810.0,DC51D+Z,,,,,,
initial-000016,BR_00000001,12,0002002195-000250,0002002195-000250,0002002195-000250,BR_00000006,normal_real,24.0,1455.0,0.65,770.0,810.0,DC51D+Z,,,,,,
initial-000016,BR_00000001,13,0002002044-000070,0002002044-000070,0002002044-000070,BR_00000001,normal_real,18.71,1450.0,0.65,770.0,810.0,DC51D+Z,,,,,,
initial-000016,BR_00000001,14,0002002162-000040,0002002162-000040,0002002162-000040,BR_00000006,normal_real,168.0,1450.0,0.65,770.0,810.0,DC51D+Z,,,,,,
initial-000016,BR_00000001,15,0002002185-000070,0002002185-000070,0002002185-000070,BR_00000006,normal_real,92.0,1375.0,0.65,770.0,810.0,DC51D+Z,,,,,,
initial-000016,BR_00000001,16,0002002024-000070,0002002024-000070,0002002024-000070,BR_00000001,normal_real,6.04,1360.0,0.7,770.0,810.0,DC51D+Z,,,,,,
initial-000016,BR_00000001,17,0002002176-000100,0002002176-000100,0002002176-000100,BR_00000006,normal_real,23.0,1358.0,0.7,770.0,810.0,DC51D+Z,,,,,,
initial-000016,BR_00000001,18,0030125207-000070,0030125207-000070,0030125207-000070,BR_00000006,normal_real,24.0,1349.0,0.9,770.0,810.0,DC51D+Z,,,,,,
initial-000016,BR_00000001,19,0030124800-000020,0030124800-000020,0030124800-000020,BR_00000006,normal_real,24.0,1332.0,1.0,770.0,810.0,DX52D+Z,,,,,,
initial-000016,BR_00000001,20,0002002170-000220,0002002170-000220,0002002170-000220,BR_00000006,normal_real,46.0,1330.0,1.0,770.0,810.0,DC51D+Z,,,,,,
initial-000016,BR_00000001,21,0030123653-000060,0030123653-000060,0030123653-000060,BR_00000006,normal_real,96.0,1260.0,0.8,700.0,840.0,DC51D+Z,,,,,,
initial-000016,BR_00000001,22,0030124871-000030,0030124871-000030,0030124871-000030,BR_00000006,normal_real,20.0,1250.0,0.95,710.0,730.0,DX51D+Z,,,,,,
initial-000016,BR_00000001,23,0030124735-000100,0030124735-000100,0030124735-000100,BR_00000006,actual_transition,24.0,1250.0,1.0,700.0,840.0,DX51D+Z,,,,,,
initial-000016,BR_00000001,24,0030122897-000040,0030122897-000040,0030122897-000040,BR_00000006,actual_transition,24.0,1250.0,1.0,700.0,840.0,DC51D+Z,,,,,,
initial-000018,BR_00000001,0,0030124871-000100,0030124871-000100,0030124871-000100,BR_00000006,normal_real,210.0,1585.0,0.75,730.0,750.0,DX51D+Z,,,,,,
initial-000018,BR_00000001,1,0030124871-000090,0030124871-000090,0030124871-000090,BR_00000006,normal_real,70.0,1550.0,0.75,730.0,750.0,DX51D+Z,,,,,,
initial-000018,BR_00000001,2,0030125168-000080,0030125168-000080,0030125168-000080,BR_00000006,normal_real,24.0,1500.0,0.8,700.0,840.0,DX51D+Z,,,,,,
initial-000018,BR_00000001,3,0002002170-000020,0002002170-000020,0002002170-000020,BR_00000006,normal_real,69.0,1498.0,0.8,830.0,850.0,DC53D+Z,,,,,,
initial-000018,BR_00000001,4,0002002170-000160,0002002170-000160,0002002170-000160,BR_00000006,normal_real,23.0,1495.0,0.7,830.0,850.0,DC53D+Z,,,,,,
initial-000018,BR_00000001,5,0030124397-000030,0030124397-000030,0030124397-000030,BR_00000006,normal_real,24.0,1465.0,0.7,830.0,850.0,DC56D+Z,,,,,,
initial-000018,BR_00000001,6,0030120049-000040,0030120049-000040,0030120049-000040,BR_00000001,normal_real,24.0,1440.0,0.7,830.0,850.0,DC56D+Z,,,,,,
initial-000018,BR_00000001,7,0002002170-000240,0002002170-000240,0002002170-000240,BR_00000006,normal_real,80.0,1434.0,0.7,830.0,850.0,DC53D+Z,,,,,,
initial-000018,BR_00000001,8,0030123143-000040,0030123143-000040,0030123143-000040,BR_00000006,normal_real,67.97,1430.0,0.65,830.0,850.0,SCG4+Z,,,,,,
initial-000018,BR_00000001,9,0002002180-000280,0002002180-000280,0002002180-000280,BR_00000006,normal_real,20.0,1390.0,0.65,830.0,850.0,DC53D+Z,,,,,,
initial-000018,BR_00000001,10,0030122759-000030,0030122759-000030,0030122759-000030,BR_00000006,normal_real,88.0,1374.0,0.75,830.0,850.0,CR3,,,,,,
initial-000018,BR_00000001,11,0030124735-000060,0030124735-000060,0030124735-000060,BR_00000006,normal_real,24.0,1360.0,0.8,820.0,840.0,DX53D+Z,,,,,,
initial-000018,BR_00000001,12,0002002184-000010,0002002184-000010,0002002184-000010,BR_00000006,normal_real,23.0,1354.0,0.65,830.0,850.0,DC56D+Z,,,,,,
initial-000018,BR_00000001,13,0030123255-000010,0030123255-000010,0030123255-000010,BR_00000006,normal_real,92.0,1350.0,0.6,820.0,840.0,HC180BD+Z,,,,,,
initial-000018,BR_00000001,14,0002002176-000240,0002002176-000240,0002002176-000240,BR_00000006,normal_real,69.0,1335.0,0.65,820.0,840.0,DC53D+Z,,,,,,
initial-000018,BR_00000001,15,0030123141-000020,0030123141-000020,0030123141-000020,BR_00000006,normal_real,100.0,1330.0,0.65,830.0,850.0,SCG4+Z,,,,,,
initial-000018,BR_00000001,16,0002002162-000110,0002002162-000110,0002002162-000110,BR_00000006,normal_real,24.0,1305.0,0.65,830.0,850.0,DC53D+Z,,,,,,
initial-000018,BR_00000001,17,0002002170-000340,0002002170-000340,0002002170-000340,BR_00000006,normal_real,23.0,1280.0,0.65,830.0,850.0,DC54D+Z,,,,,,
initial-000018,BR_00000001,18,0030122897-000100,0030122897-000100,0030122897-000100,BR_00000006,actual_transition,96.0,1250.0,0.75,700.0,840.0,DC51D+Z,,,,,,
initial-000018,BR_00000001,19,0030124081-000010,0030124081-000010,0030124081-000010,BR_00000006,actual_transition,48.0,1250.0,0.75,700.0,840.0,DC51D+Z,,,,,,
initial-000018,BR_00000001,20,0030124824-000030,0030124824-000030,0030124824-000030,BR_00000006,normal_real,37.29,1250.0,0.75,730.0,750.0,DX51D+Z,,,,,,
initial-000018,BR_00000001,21,0010019881-000010,0010019881-000010,0010019881-000010,BR_00000006,actual_transition,24.0,1250.0,0.8,700.0,840.0,DC51D+Z,,,,,,
initial-000018,BR_00000001,22,0010019881-000020,0010019881-000020,0010019881-000020,BR_00000006,actual_transition,24.0,1250.0,0.95,700.0,840.0,DC51D+Z,,,,,,
initial-000018,BR_00000001,23,0030124871-000020,0030124871-000020,0030124871-000020,BR_00000006,normal_real,20.0,1250.0,1.15,710.0,730.0,DX51D+Z,,,,,,
initial-000018,BR_00000001,24,0030122897-000050,0030122897-000050,0030122897-000050,BR_00000006,actual_transition,24.0,1250.0,1.2,700.0,840.0,DC51D+Z,,,,,,
initial-000018,BR_00000001,25,0030124207-000020,0030124207-000020,0030124207-000020,BR_00000006,actual_transition,24.0,1250.0,1.2,700.0,840.0,DC51D+Z,,,,,,
initial-000018,BR_00000001,26,0030125168-000090,0030125168-000090,0030125168-000090,BR_00000006,normal_real,24.0,1250.0,1.2,770.0,810.0,DX52D+Z-LG,,,,,,
initial-000018,BR_00000001,27,0002002202-000020,0002002202-000020,0002002202-000020,BR_00000006,normal_real,23.0,1245.0,1.2,770.0,810.0,DC51D+Z,,,,,,
initial-000018,BR_00000001,28,0030124800-000010,0030124800-000010,0030124800-000010,BR_00000006,normal_real,24.0,1240.0,1.0,770.0,810.0,DX52D+Z,,,,,,
initial-000018,BR_00000001,29,0030125184-000010,0030125184-000010,0030125184-000010,BR_00000006,normal_real,48.0,1183.0,1.0,790.0,810.0,HC220YD+Z,,,,,,
initial-000018,BR_00000001,30,0030118093-000020,0030118093-000020,0030118093-000020,BR_00000001,normal_real,135.54,1172.0,1.0,700.0,840.0,DX51D+Z,,,,,,
initial-000018,BR_00000001,31,0030124440-000030,0030124440-000030,0030124440-000030,BR_00000006,normal_real,24.0,1155.0,0.9,770.0,810.0,DX52D+Z,,,,,,
initial-000018,BR_00000001,32,0002002202-000210,0002002202-000210,0002002202-000210,BR_00000006,normal_real,8.21,1155.0,1.0,770.0,810.0,DC51D+Z,,,,,,
initial-000018,BR_00000001,33,0002002170-000080,0002002170-000080,0002002170-000080,BR_00000006,normal_real,23.0,1128.0,1.0,770.0,810.0,DC51D+Z,,,,,,
initial-000018,BR_00000001,34,0030124440-000020,0030124440-000020,0030124440-000020,BR_00000006,normal_real,23.0,1125.0,0.9,770.0,810.0,DX52D+Z,,,,,,
initial-000018,BR_00000001,35,0002002169-000030,0002002169-000030,0002002169-000030,BR_00000006,normal_real,30.0,1120.0,0.7,770.0,810.0,DC51D+Z,,,,,,
initial-000018,BR_00000001,36,0002002195-000060,0002002195-000060,0002002195-000060,BR_00000006,normal_real,61.96,1095.0,0.65,770.0,810.0,DC51D+Z,,,,,,
initial-000018,BR_00000001,37,0002002202-000150,0002002202-000150,0002002202-000150,BR_00000006,normal_real,25.0,1095.0,0.7,770.0,810.0,DC51D+Z,,,,,,
initial-000018,BR_00000001,38,0002002195-000170,0002002195-000170,0002002195-000170,BR_00000006,normal_real,24.0,1088.0,0.65,770.0,810.0,DC51D+Z,,,,,,
initial-000018,BR_00000001,39,0002002202-000160,0002002202-000160,0002002202-000160,BR_00000006,normal_real,19.0,1085.0,0.7,770.0,810.0,DC51D+Z,,,,,,
initial-000018,BR_00000001,40,0030124800-000030,0030124800-000030,0030124800-000030,BR_00000006,normal_real,23.0,1084.0,0.8,770.0,810.0,DX52D+Z,,,,,,
initial-000018,BR_00000001,41,0002002176-000070,0002002176-000070,0002002176-000070,BR_00000006,normal_real,100.0,1063.0,1.0,770.0,810.0,DC51D+Z,,,,,,
initial-000024,BR_00000001,0,0030124583-000010,0030124583-000010,0030124583-000010,BR_00000006,actual_transition,24.0,1388.0,1.6,700.0,720.0,DC51D+Z,,,,,,
initial-000024,BR_00000001,1,0030125101-000020,0030125101-000020,0030125101-000020,BR_00000006,normal_real,120.0,1360.0,1.5,700.0,720.0,DC51D+Z-Q,,,,,,
initial-000024,BR_00000001,2,0010019881-000060,0010019881-000060,0010019881-000060,BR_00000006,actual_transition,96.0,1355.0,1.95,700.0,840.0,DC51D+Z,,,,,,
initial-000024,BR_00000001,3,0002002054-000060,0002002054-000060,0002002054-000060,BR_00000001,normal_real,50.0,1300.0,2.0,820.0,840.0,DX53D+Z-MD,,,,,,
initial-000024,BR_00000001,4,0005000571-000030,0005000571-000030,0005000571-000030,BR_00000006,normal_real,7.0,1256.0,2.0,830.0,850.0,CR180BH,,,,,,
initial-000024,BR_00000001,5,0005000563-000090,0005000563-000090,0005000563-000090,BR_00000006,normal_real,21.0,1245.0,1.75,830.0,850.0,CR3,,,,,,
initial-000024,BR_00000001,6,0002002059-000020,0002002059-000020,0002002059-000020,BR_00000001,normal_real,20.43,1243.0,1.5,820.0,840.0,DX53D+Z-CD,,,,,,
initial-000024,BR_00000001,7,0002002053-000070,0002002053-000070,0002002053-000070,BR_00000001,normal_real,25.67,1219.0,1.2,820.0,840.0,DX53D+Z-MD,,,,,,
initial-000024,BR_00000001,8,0030119945-000140,0030119945-000140,0030119945-000140,BR_00000001,normal_real,24.0,1195.0,1.3,830.0,850.0,DC54D+Z,,,,,,
initial-000024,BR_00000001,9,0030119597-000010,0030119597-000010,0030119597-000010,BR_00000001,normal_real,7.08,1155.0,1.2,830.0,850.0,DC54D+Z,,,,,,
initial-000024,BR_00000001,10,0030125147-000020,0030125147-000020,0030125147-000020,BR_00000006,normal_real,23.0,1145.0,1.0,820.0,840.0,DC53D+Z,,,,,,
initial-000024,BR_00000001,11,0030123508-000010,0030123508-000010,0030123508-000010,BR_00000006,normal_real,138.0,1145.0,1.0,830.0,850.0,HDX53D+Z-SN,,,,,,
initial-000024,BR_00000001,12,0030118261-000010,0030118261-000010,0030118261-000010,BR_00000001,normal_real,57.02,1145.0,1.0,830.0,850.0,HDX53D+Z-SN,,,,,,
initial-000024,BR_00000001,13,0030124170-000010,0030124170-000010,0030124170-000010,BR_00000006,normal_real,69.0,1145.0,1.0,830.0,850.0,HDX53D+Z-SN,,,,,,
initial-000024,BR_00000001,14,0005000571-000020,0005000571-000020,0005000571-000020,BR_00000006,normal_real,7.0,1135.0,1.2,830.0,850.0,CR4,,,,,,
initial-000024,BR_00000001,15,0002002184-000090,0002002184-000090,0002002184-000090,BR_00000006,normal_real,30.0,1134.0,1.0,830.0,850.0,DC56D+Z,,,,,,
initial-000024,BR_00000001,16,0005000563-000290,0005000563-000290,0005000563-000290,BR_00000006,normal_real,20.0,1100.0,0.8,830.0,850.0,CR180BH,,,,,,
initial-000024,BR_00000001,17,0005000547-000400,0005000547-000400,0005000547-000400,BR_00000001,normal_real,20.0,1100.0,0.8,830.0,850.0,CR180BH,,,,,,
initial-000024,BR_00000001,18,0002002053-000020,0002002053-000020,0002002053-000020,BR_00000001,normal_real,8.8,1100.0,0.8,820.0,840.0,DX53D+Z-MD,,,,,,
initial-000024,BR_00000001,19,0030124438-000010,0030124438-000010,0030124438-000010,BR_00000006,normal_real,23.0,1083.0,0.8,830.0,850.0,DC54D+Z,,,,,,
initial-000024,BR_00000001,20,0030118934-000020,0030118934-000020,0030118934-000020,BR_00000001,normal_real,238.96,1060.0,0.95,820.0,840.0,HX220BD+Z,,,,,,
initial-000024,BR_00000001,21,0030124824-000020,0030124824-000020,0030124824-000020,BR_00000006,normal_real,430.0,1055.0,0.95,820.0,840.0,DX53D+Z,,,,,,
initial-000024,BR_00000001,22,0030119031-000020,0030119031-000020,0030119031-000020,BR_00000001,normal_real,26.67,1055.0,0.95,820.0,840.0,DX53D+Z,,,,,,
initial-000024,BR_00000001,23,0030118093-000060,0030118093-000060,0030118093-000060,BR_00000001,normal_real,31.46,1048.0,0.8,820.0,840.0,DC53D+Z,,,,,,
initial-000024,BR_00000001,24,0030123145-000020,0030123145-000020,0030123145-000020,BR_00000006,normal_real,21.43,1010.0,0.8,810.0,830.0,HC180YD+Z,,,,,,
initial-000024,BR_00000001,25,0030122899-000010,0030122899-000010,0030122899-000010,BR_00000006,actual_transition,60.0,1000.0,0.8,700.0,840.0,DC51D+Z,,,,,,
initial-000024,BR_00000001,26,0030122480-000090,0030122480-000090,0030122480-000090,BR_00000006,normal_real,22.0,990.0,0.7,830.0,850.0,DX53D+Z,,,,,,
initial-000024,BR_00000001,27,0030120940-000030,0030120940-000030,0030120940-000030,BR_00000002,normal_real,18.0,950.0,0.7,830.0,850.0,DC56D+Z,,,,,,
initial-000024,BR_00000001,28,0030122480-000040,0030122480-000040,0030122480-000040,BR_00000006,normal_real,72.0,950.0,0.7,830.0,850.0,DX54D+Z,,,,,,
initial-000024,BR_00000001,29,0030120745-000010,0030120745-000010,0030120745-000010,BR_00000001,normal_real,12.99,865.0,0.8,830.0,850.0,DX53D+Z,,,,,,
initial-000025,BR_00000001,0,0030121196-000030,0030121196-000030,0030121196-000030,BR_00000002,normal_real,46.91,1500.0,0.7,770.0,790.0,HC340/590DPD+Z,,,,,,
initial-000025,BR_00000001,1,0030123053-000010,0030123053-000010,0030123053-000010,BR_00000006,actual_transition,48.0,1440.0,0.8,700.0,840.0,DC51D+Z,,,,,,
initial-000025,BR_00000001,2,0030118957-000010,0030118957-000010,0030118957-000010,BR_00000001,normal_real,48.0,1360.0,0.7,700.0,720.0,DX51D+Z3,,,,,,
initial-000025,BR_00000001,3,0030124735-000090,0030124735-000090,0030124735-000090,BR_00000006,actual_transition,24.0,1325.0,0.7,700.0,840.0,DX51D+Z,,,,,,
initial-000025,BR_00000001,4,0002002195-000120,0002002195-000120,0002002195-000120,BR_00000006,normal_real,72.0,1315.0,0.65,770.0,810.0,DC51D+Z,,,,,,
initial-000025,BR_00000001,5,0002002202-000090,0002002202-000090,0002002202-000090,BR_00000006,normal_real,138.0,1280.0,0.65,770.0,810.0,DC51D+Z,,,,,,
initial-000025,BR_00000001,6,0030123916-000040,0030123916-000040,0030123916-000040,BR_00000006,actual_transition,23.0,1250.0,0.6,700.0,840.0,DC51D+Z,,,,,,
initial-000025,BR_00000001,7,0030118006-000020,0030118006-000020,0030118006-000020,BR_00000001,normal_real,29.28,1240.0,0.6,700.0,840.0,DC51D+Z,,,,,,
initial-000025,BR_00000001,8,0030125207-000050,0030125207-000050,0030125207-000050,BR_00000006,normal_real,48.0,1233.0,0.7,770.0,810.0,DC51D+Z,,,,,,
initial-000025,BR_00000001,9,0010019680-000010,0010019680-000010,0010019680-000010,BR_00000006,normal_real,48.0,1170.0,0.6,700.0,840.0,DC51D+Z-D,,,,,,
initial-000025,BR_00000001,10,0002002184-000060,0002002184-000060,0002002184-000060,BR_00000006,normal_real,23.0,1170.0,0.6,770.0,810.0,DC51D+Z,,,,,,
initial-000025,BR_00000001,11,0010019680-000030,0010019680-000030,0010019680-000030,BR_00000006,normal_real,48.0,1160.0,0.6,700.0,840.0,DC51D+Z-D,,,,,,
initial-000025,BR_00000001,12,0030124827-000010,0030124827-000010,0030124827-000010,BR_00000006,normal_real,70.0,1140.0,0.75,730.0,750.0,DX51D+Z,,,,,,
initial-000025,BR_00000001,13,0030124827-000020,0030124827-000020,0030124827-000020,BR_00000006,normal_real,50.0,1100.0,0.75,730.0,750.0,DX51D+Z,,,,,,
initial-000025,BR_00000001,14,0030124871-000130,0030124871-000130,0030124871-000130,BR_00000006,normal_real,180.0,1100.0,0.75,730.0,750.0,DX51D+Z,,,,,,
initial-000025,BR_00000001,15,0010019680-000020,0010019680-000020,0010019680-000020,BR_00000006,normal_real,69.0,1072.0,0.75,730.0,750.0,DC51D+Z-D,,,,,,
initial-000025,BR_00000001,16,0030124826-000040,0030124826-000040,0030124826-000040,BR_00000006,normal_real,50.0,1055.0,0.6,730.0,750.0,DX51D+Z,,,,,,
initial-000025,BR_00000001,17,0030124824-000040,0030124824-000040,0030124824-000040,BR_00000006,normal_real,92.95,1055.0,0.6,730.0,750.0,DX51D+Z,,,,,,
initial-000025,BR_00000001,18,0030120951-000010,0030120951-000010,0030120951-000010,BR_00000002,normal_real,32.24,1050.0,0.7,700.0,840.0,DX51D+Z,,,,,,
initial-000025,BR_00000001,19,0002002180-000350,0002002180-000350,0002002180-000350,BR_00000006,normal_real,20.0,1025.0,0.6,810.0,830.0,180YD+Z,,,,,,
initial-000025,BR_00000001,20,0002002006-000230,0002002006-000230,0002002006-000230,BR_00000001,normal_real,21.76,1020.0,0.6,810.0,830.0,180YD+Z,,,,,,
initial-000025,BR_00000001,21,0030124457-000010,0030124457-000010,0030124457-000010,BR_00000006,normal_real,44.0,1001.0,0.6,820.0,840.0,DX53D+Z,,,,,,
initial-000025,BR_00000001,22,0002002180-000010,0002002180-000010,0002002180-000010,BR_00000006,normal_real,39.0,985.0,0.6,810.0,830.0,180YD+Z,,,,,,
initial-000025,BR_00000001,23,0002002176-000120,0002002176-000120,0002002176-000120,BR_00000006,normal_real,25.0,913.0,0.6,810.0,830.0,180YD+Z,,,,,,
initial-000025,BR_00000001,24,0030124437-000010,0030124437-000010,0030124437-000010,BR_00000006,actual_transition,18.0,910.0,0.8,700.0,840.0,DC51D+Z,,,,,,
initial-000026,BR_00000001,0,0030122898-000030,0030122898-000030,0030122898-000030,BR_00000006,actual_transition,96.0,1500.0,2.5,700.0,720.0,DC51D+Z,,,,,,
initial-000026,BR_00000001,1,0030124735-000130,0030124735-000130,0030124735-000130,BR_00000006,actual_transition,24.0,1250.0,2.45,700.0,720.0,DC51D+Z,,,,,,
initial-000026,BR_00000001,2,0030122898-000040,0030122898-000040,0030122898-000040,BR_00000006,actual_transition,240.0,1250.0,2.5,700.0,720.0,DC51D+Z,,,,,,
initial-000026,BR_00000001,3,0030122899-000050,0030122899-000050,0030122899-000050,BR_00000006,actual_transition,240.0,1250.0,2.5,700.0,720.0,DC51D+Z,,,,,,
initial-000026,BR_00000001,4,0030121724-000020,0030121724-000020,0030121724-000020,BR_00000002,actual_transition,195.2,1250.0,2.5,700.0,720.0,DC51D+Z,,,,,,
initial-000026,BR_00000001,5,0030118921-000020,0030118921-000020,0030118921-000020,BR_00000001,actual_transition,23.0,1110.0,2.49,700.0,720.0,DC51D+Z,,,,,,
initial-000026,BR_00000001,6,0010020206-000030,0010020206-000030,0010020206-000030,BR_00000006,actual_transition,110.0,1000.0,2.5,700.0,720.0,DC51D+Z,,,,,,
initial-000027,BR_00000001,0,0002002185-000030,0002002185-000030,0002002185-000030,BR_00000006,normal_real,23.0,1373.0,1.6,770.0,810.0,DC51D+Z,,,,,,
initial-000027,BR_00000001,1,0002002170-000040,0002002170-000040,0002002170-000040,BR_00000006,normal_real,23.0,1251.0,1.8,770.0,810.0,DC51D+Z,,,,,,
initial-000027,BR_00000001,2,0030123653-000010,0030123653-000010,0030123653-000010,BR_00000006,normal_real,96.0,1225.0,1.5,700.0,840.0,DC51D+Z,,,,,,
initial-000027,BR_00000001,3,0002002053-000100,0002002053-000100,0002002053-000100,BR_00000001,normal_real,92.0,1219.0,1.5,820.0,840.0,DX53D+Z-MD,,,,,,
initial-000027,BR_00000001,4,0005000548-000050,0005000548-000050,0005000548-000050,BR_00000001,normal_real,7.0,1214.0,1.5,820.0,840.0,CR240BH,,,,,,
initial-000027,BR_00000001,5,0030124772-000010,0030124772-000010,0030124772-000010,BR_00000006,actual_transition,24.0,1200.0,1.5,700.0,840.0,DC51D+Z,,,,,,
initial-000027,BR_00000001,6,0002002195-000090,0002002195-000090,0002002195-000090,BR_00000006,normal_real,48.0,1200.0,1.6,795.0,815.0,220YD+Z,,,,,,
initial-000027,BR_00000001,7,0002002202-000260,0002002202-000260,0002002202-000260,BR_00000006,normal_real,15.93,1175.0,1.6,770.0,810.0,DC51D+Z,,,,,,
initial-000027,BR_00000001,8,0002002202-000120,0002002202-000120,0002002202-000120,BR_00000006,normal_real,23.0,1163.0,1.4,770.0,810.0,DC51D+Z,,,,,,
initial-000027,BR_00000001,9,0002002006-000190,0002002006-000190,0002002006-000190,BR_00000001,normal_real,7.7,1152.0,1.2,770.0,810.0,DC51D+Z,,,,,,
initial-000027,BR_00000001,10,0002002202-000220,0002002202-000220,0002002202-000220,BR_00000006,normal_real,23.0,1115.0,1.2,770.0,810.0,DC51D+Z,,,,,,
initial-000027,BR_00000001,11,0002002185-000010,0002002185-000010,0002002185-000010,BR_00000006,normal_real,23.0,1113.0,1.2,770.0,810.0,DC51D+Z,,,,,,
initial-000027,BR_00000001,12,0002002169-000010,0002002169-000010,0002002169-000010,BR_00000006,normal_real,25.0,1090.0,1.4,770.0,810.0,DC51D+Z,,,,,,
initial-000027,BR_00000001,13,0002002202-000010,0002002202-000010,0002002202-000010,BR_00000006,normal_real,19.0,1085.0,1.4,770.0,810.0,DC51D+Z,,,,,,
initial-000027,BR_00000001,14,0002002202-000240,0002002202-000240,0002002202-000240,BR_00000006,normal_real,19.0,1065.0,1.4,770.0,810.0,DC51D+Z,,,,,,
initial-000027,BR_00000001,15,0002002202-000300,0002002202-000300,0002002202-000300,BR_00000006,normal_real,30.0,1030.0,1.6,770.0,810.0,DC51D+Z,,,,,,
initial-000027,BR_00000001,16,0002002202-000230,0002002202-000230,0002002202-000230,BR_00000006,normal_real,19.0,1020.0,1.4,770.0,810.0,DC51D+Z,,,,,,
initial-000027,BR_00000001,17,0030118934-000010,0030118934-000010,0030118934-000010,BR_00000001,normal_real,130.44,910.0,1.15,800.0,820.0,HX260YD+Z,,,,,,
initial-000027,BR_00000001,18,0002002180-000060,0002002180-000060,0002002180-000060,BR_00000006,normal_real,20.0,921.0,1.2,770.0,810.0,DC51D+Z,,,,,,
initial-000027,BR_00000001,19,0002002170-000140,0002002170-000140,0002002170-000140,BR_00000006,normal_real,16.0,899.0,1.2,770.0,810.0,DC51D+Z,,,,,,
initial-000027,BR_00000001,20,0002002170-000070,0002002170-000070,0002002170-000070,BR_00000006,normal_real,16.0,890.0,1.2,770.0,810.0,DC51D+Z,,,,,,
initial-000006,BR_00000001,0,0030119860-000010,0030119860-000010,0030119860-000010,BR_00000001,normal_real,38.27,1360.0,0.7,820.0,840.0,DC53D+Z,,,,,,
initial-000006,BR_00000001,1,0002002184-000040,0002002184-000040,0002002184-000040,BR_00000006,normal_real,92.0,1354.0,0.7,830.0,850.0,DC56D+Z,,,,,,
initial-000006,BR_00000001,2,0030125207-000110,0030125207-000110,0030125207-000110,BR_00000006,normal_real,24.0,1353.0,0.7,830.0,850.0,DC53D+Z,,,,,,
initial-000006,BR_00000001,3,0030118802-000010,0030118802-000010,0030118802-000010,BR_00000001,normal_real,14.77,1350.0,0.6,820.0,840.0,HC180BD+Z,,,,,,
initial-000006,BR_00000001,4,0002002055-000050,0002002055-000050,0002002055-000050,BR_00000001,normal_real,280.12,1310.0,0.6,815.0,835.0,DX51D+Z-MD,,,,,,
initial-000006,BR_00000001,5,0010019718-000020,0010019718-000020,0010019718-000020,BR_00000006,actual_transition,58.0,1300.0,0.5,700.0,840.0,DC51D+Z,,,,,,
initial-000006,BR_00000001,6,0002002055-000010,0002002055-000010,0002002055-000010,BR_00000001,normal_real,70.55,1250.0,0.5,815.0,835.0,DX51D+Z-MD,,,,,,
initial-000006,BR_00000001,7,0002002053-000130,0002002053-000130,0002002053-000130,BR_00000001,normal_real,23.0,1250.0,0.6,820.0,840.0,DX53D+Z-MD,,,,,,
initial-000006,BR_00000001,8,0002002176-000160,0002002176-000160,0002002176-000160,BR_00000006,normal_real,13.76,1220.0,0.65,830.0,850.0,DC53D+Z,,,,,,
initial-000006,BR_00000001,9,0030122086-000010,0030122086-000010,0030122086-000010,BR_00000003,normal_real,48.0,1220.0,0.65,830.0,850.0,DC56D+Z,,,,,,
initial-000006,BR_00000001,10,0030124871-000010,0030124871-000010,0030124871-000010,BR_00000006,normal_real,25.0,1200.0,0.75,820.0,840.0,DX53D+Z,,,,,,
initial-000006,BR_00000001,11,0030117283-000030,0030117283-000030,0030117283-000030,BR_00000001,normal_real,13.32,1190.0,0.7,830.0,850.0,SCG4+Z,,,,,,
initial-000006,BR_00000001,12,0030118093-000010,0030118093-000010,0030118093-000010,BR_00000001,normal_real,122.84,1165.0,0.6,700.0,840.0,DC51D+Z,,,,,,
initial-000006,BR_00000001,13,0030117932-000010,0030117932-000010,0030117932-000010,BR_00000001,normal_real,99.77,1162.0,0.6,700.0,840.0,DC51D+Z,,,,,,
initial-000006,BR_00000001,14,0002002176-000010,0002002176-000010,0002002176-000010,BR_00000006,normal_real,15.0,1150.0,0.65,770.0,810.0,DC51D+Z,,,,,,
initial-000006,BR_00000001,15,0002002148-000010,0002002148-000010,0002002148-000010,BR_00000006,normal_real,300.0,1148.0,0.65,770.0,810.0,DC51D+Z,,,,,,
initial-000006,BR_00000001,16,0002002195-000070,0002002195-000070,0002002195-000070,BR_00000006,normal_real,145.0,1148.0,0.65,770.0,810.0,DC51D+Z,,,,,,
initial-000006,BR_00000001,17,0002002202-000060,0002002202-000060,0002002202-000060,BR_00000006,normal_real,46.0,1145.0,0.7,770.0,810.0,DC51D+Z,,,,,,
