chain_id,assigned_period,position,node_id,source_order_id,source_resource_id,source_period,material_role,weight,width,thickness,min_temperature,max_temperature,grade,partition_id,piece_index,virtual_prototype_id,virtual_purpose,virtual_accepted_sequence,related_partition_id,sequence,small_roll,delivery_date
initial-000001,BR_00000001,20,0030125168-000040,0030125168-000040,0030125168-000040,BR_00000006,normal_real,48.0,1219.0,0.4,700.0,840.0,DC51D+Z,,,,,,,21,01,2026-06-30
initial-000001,BR_00000001,21,0030125168-000060,0030125168-000060,0030125168-000060,BR_00000006,normal_real,24.0,1190.0,0.4,770.0,810.0,DX52D+Z-LG,,,,,,,22,01,2026-06-30
initial-000001,BR_00000001,22,0030124800-000070,0030124800-000070,0030124800-000070,BR_00000006,normal_real,23.0,1146.0,0.5,770.0,810.0,DX52D+Z,,,,,,,23,01,2026-06-30
initial-000001,BR_00000001,23,0002002176-000170,0002002176-000170,0002002176-000170,BR_00000006,normal_real,17.0,1145.0,0.6,770.0,810.0,DC51D+Z,,,,,,,24,01,2026-06-30
initial-000001,BR_00000001,24,0030117283-000020,0030117283-000020,0030117283-000020,BR_00000001,normal_real,3.44,1130.0,0.65,790.0,810.0,SCG260Y+Z,,,,,,,25,01,2026-05-31
initial-000001,BR_00000001,25,0030120974-000030,0030120974-000030,0030120974-000030,BR_00000002,normal_real,23.0,1130.0,0.8,790.0,810.0,HC260YD+Z,,,,,,,26,01,2026-06-10
initial-000001,BR_00000001,26,0002002176-000180,0002002176-000180,0002002176-000180,BR_00000006,normal_real,15.0,1122.0,0.65,770.0,810.0,DC51D+Z,,,,,,,27,01,2026-06-30
initial-000001,BR_00000001,27,0030125206-000010,0030125206-000010,0030125206-000010,BR_00000006,normal_real,23.0,1120.0,0.6,770.0,810.0,DC51D+Z,,,,,,,28,01,2026-06-30
initial-000001,BR_00000001,28,0030124800-000060,0030124800-000060,0030124800-000060,BR_00000006,normal_real,23.0,1116.0,0.5,770.0,810.0,DX52D+Z,,,,,,,29,01,2026-06-30
initial-000001,BR_00000001,29,0002002176-000200,0002002176-000200,0002002176-000200,BR_00000006,normal_real,15.0,1080.0,0.6,770.0,810.0,DC51D+Z,,,,,,,30,01,2026-06-30
