artifact_kind,publishable,node_id,source_order_id,source_resource_id,source_period,assigned_period,chain_id,chain_sequence,node_sequence,weight,width,thickness,min_temperature,max_temperature,grade,grade_class,hot_roll_grade,soft_hard_class,material_role,split_lineage,virtual_lineage,width_warning,thickness_warning,temperature_warning,chain_warning,business_warning
diagnostic_candidate,True,0030105462-000040,0030105462-000040,0030105462-000040,BR_00000012,BR_00000006,numeric-chain-000022,3,5,24,1500,1.1,700,840,DC51D+Z,普碳,SPHC,软钢,actual_transition,,,,,,,
diagnostic_candidate,True,0030100952-000080,0030100952-000080,0030100952-000080,BR_00000008,BR_00000006,numeric-chain-000022,3,6,52,1500,1.2,770,810,DX51D+Z,深冲钢（PD）,SPHCQ,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0030111511-000070,0030111511-000070,0030111511-000070,BR_00000020,BR_00000006,numeric-chain-000022,3,7,8,1495,1.2,770,810,DC51D+Z,深冲钢（PD）,SPHCQ,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0002001612-000360,0002001612-000360,0002001612-000360,BR_00000012,BR_00000006,numeric-chain-000022,3,8,92,1484,1.2,770,810,DC51D+Z,普碳,SPHC,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0002001889-000030,0002001889-000030,0002001889-000030,BR_00000024,BR_00000006,numeric-chain-000022,3,9,13,1482,1.2,770,810,DC51D+Z,普碳,SPHC,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0002001612-000630,0002001612-000630,0002001612-000630,BR_00000012,BR_00000006,numeric-chain-000022,3,10,30,1444,1.4,770,810,DC51D+Z,普碳,SPHC,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0002002009-000240,0002002009-000240,0002002009-000240,BR_00000030,BR_00000006,numeric-chain-000022,3,11,46,1442,1.4,770,810,DC51D+Z,普碳,SPHC,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0002001889-000090,0002001889-000090,0002001889-000090,BR_00000024,BR_00000006,numeric-chain-000022,3,12,13,1442,1.4,770,810,DC51D+Z,普碳,SPHC,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0002001751-000060,0002001751-000060,0002001751-000060,BR_00000018,BR_00000006,numeric-chain-000022,3,13,23,1420,1.6,770,810,DC51D+Z,普碳,SPHC,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0002002024-000170,0002002024-000170,0002002024-000170,BR_00000030,BR_00000006,numeric-chain-000022,3,14,23,1420,1.6,770,810,DC51D+Z,普碳,SPHC,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0030112972-000010,0030112972-000010,0030112972-000010,BR_00000024,BR_00000006,numeric-chain-000022,3,15,21,1402,2,770,810,DX52D+Z,深冲钢（PD）,SPHCQ,软钢,normal_real,,,,,,,
diagnostic_candidate,True,0002001455-000030,0002001455-000030,0002001455-000030,BR_00000006,BR_00000006,numeric-chain-000022,3,16,22,1395,2,770,810,DC51D+Z,普碳,SPHC,软钢,normal_real,,,,,,,
