artifact_kind,publishable,node_id,source_order_id,source_resource_id,source_period,assigned_period,chain_id,chain_sequence,node_sequence,weight,width,thickness,min_temperature,max_temperature,grade,grade_class,hot_roll_grade,soft_hard_class,material_role,split_lineage,virtual_lineage,width_warning,thickness_warning,temperature_warning,chain_warning
diagnostic_candidate,True,0030122647-000570,0030122647-000570,0030122647-000570,BR_00000006,BR_00000001,numeric-chain-000013,3,5,48,1300,2.49,820,840,DC53D+Z,IF钢,SPHETI-5,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030119938-000320,0030119938-000320,0030119938-000320,BR_00000001,BR_00000001,numeric-chain-000013,3,6,24.6,1250,2.49,820,840,DC53D+Z,IF钢,SPHETI-5,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030122647-000560,0030122647-000560,0030122647-000560,BR_00000006,BR_00000001,numeric-chain-000013,3,7,72,1250,2.49,820,840,DC53D+Z,IF钢,SPHETI-5,软钢,normal_real,,,,,,
diagnostic_candidate,True,0002002074-000010,0002002074-000010,0002002074-000010,BR_00000006,BR_00000001,numeric-chain-000013,3,8,150,1200,2,820,840,DX53D+Z-MD,IF钢,SPHETI-5,软钢,normal_real,,,,,,
diagnostic_candidate,True,virtual-000020,,,,BR_00000001,numeric-chain-000013,3,9,20.00,1000,1.50,820,850,SPHC,,SPHC,,virtual_sphc,,"{""accepted_sequence"":20,""prototype_id"":""virtual_sphc:1000x1.5"",""purpose"":""edge_bridge"",""related_partition_id"":null}",,,,
diagnostic_candidate,True,0005000563-000170,0005000563-000170,0005000563-000170,BR_00000006,BR_00000001,numeric-chain-000013,3,10,48,900,1.2,830,850,CR180BH,加磷高强、烘烤硬化钢,H180BH,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030122480-000070,0030122480-000070,0030122480-000070,BR_00000006,BR_00000001,numeric-chain-000013,3,11,108,905,1.2,820,840,DX53D+Z,IF钢,SPHETI-5,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030121196-000030,0030121196-000030,0030121196-000030,BR_00000002,BR_00000001,numeric-chain-000021,4,1,46.91,1500,0.7,770,790,HC340/590DPD+Z,双相钢,W590X4,硬钢,normal_real,,,,,,
diagnostic_candidate,True,0030123053-000010,0030123053-000010,0030123053-000010,BR_00000006,BR_00000001,numeric-chain-000021,4,2,48,1440,0.8,700,840,DC51D+Z,普碳,SPHC,软钢,actual_transition,,,,,,
diagnostic_candidate,True,0030118957-000010,0030118957-000010,0030118957-000010,BR_00000001,BR_00000001,numeric-chain-000021,4,3,48,1360,0.7,700,720,DX51D+Z3,深冲钢（PD）,DD12BB,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030119098-000060,0030119098-000060,0030119098-000060,BR_00000001,BR_00000001,numeric-chain-000021,4,4,24,1333,0.6,700,840,DX51D+Z,普碳,SPHC,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030123143-000030,0030123143-000030,0030123143-000030,BR_00000006,BR_00000001,numeric-chain-000021,4,5,175,1315,0.6,830,850,SCG4+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,
diagnostic_candidate,True,0010019718-000020,0010019718-000020,0010019718-000020,BR_00000006,BR_00000001,numeric-chain-000021,4,6,58,1300,0.5,700,840,DC51D+Z,普碳,SPHC,软钢,actual_transition,,,,,,
diagnostic_candidate,True,0002002170-000030,0002002170-000030,0002002170-000030,BR_00000006,BR_00000001,numeric-chain-000021,4,7,23,1300,0.6,770,810,DC51D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,
diagnostic_candidate,True,0002002176-000190,0002002176-000190,0002002176-000190,BR_00000006,BR_00000001,numeric-chain-000021,4,8,15,1295,0.6,770,810,DC51D+Z,普碳,SPHC,软钢,normal_real,,,,,,
diagnostic_candidate,True,0002002202-000090,0002002202-000090,0002002202-000090,BR_00000006,BR_00000001,numeric-chain-000021,4,9,138,1280,0.65,770,810,DC51D+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030123916-000040,0030123916-000040,0030123916-000040,BR_00000006,BR_00000001,numeric-chain-000021,4,10,23,1250,0.6,700,840,DC51D+Z,普碳,SPHC,软钢,actual_transition,,,,,,
diagnostic_candidate,True,0030122897-000060,0030122897-000060,0030122897-000060,BR_00000006,BR_00000001,numeric-chain-000021,4,11,72,1250,0.6,700,840,DC51D+Z,普碳,SPHC,软钢,actual_transition,,,,,,
diagnostic_candidate,True,0030123653-000040,0030123653-000040,0030123653-000040,BR_00000006,BR_00000001,numeric-chain-000021,4,12,48,1212,0.6,700,840,DC51D+Z,普碳,SPHC,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030123143-000050,0030123143-000050,0030123143-000050,BR_00000006,BR_00000001,numeric-chain-000021,4,13,13.39,1210,0.6,830,850,SCG4+Z,IF钢,SPHETI-3,软钢,normal_real,,,,,,
diagnostic_candidate,True,0002002054-000260,0002002054-000260,0002002054-000260,BR_00000001,BR_00000001,numeric-chain-000021,4,14,293.39,1150,0.6,820,840,DX53D+Z-MD,IF钢,SPHETI-5,软钢,normal_real,,,,,,
diagnostic_candidate,True,0030124871-000040,0030124871-000040,0030124871-000040,BR_00000006,BR_00000001,numeric-chain-000021,4,15,20,1160,0.6,820,840,DX53D+Z,IF钢,SPHETI-5,软钢,normal_real,,,,,,
