chain_id,assigned_period,position,node_id,source_order_id,source_resource_id,source_period,material_role,weight,width,thickness,min_temperature,max_temperature,grade,partition_id,piece_index,virtual_prototype_id,virtual_purpose,virtual_accepted_sequence,related_partition_id,sequence,small_roll,delivery_date
initial-000003,BR_00000001,11,0030124567-000010,0030124567-000010,0030124567-000010,BR_00000006,normal_real,24.0,1310.0,1.0,830.0,850.0,DC56D+Z,,,,,,,49,02,2026-06-30
initial-000003,BR_00000001,12,0030121196-000020,0030121196-000020,0030121196-000020,BR_00000002,normal_real,24.0,1300.0,0.95,830.0,850.0,DC56D+Z,,,,,,,50,02,2026-06-10
initial-000003,BR_00000001,13,0002002053-000180,0002002053-000180,0002002053-000180,BR_00000001,normal_real,60.0,1300.0,1.0,820.0,840.0,DX53D+Z-MD,,,,,,,51,02,2026-05-31
initial-000003,BR_00000001,14,0002002054-000100,0002002054-000100,0002002054-000100,BR_00000001,normal_real,75.01,1300.0,1.0,820.0,840.0,DX53D+Z-MD,,,,,,,52,02,2026-05-31
initial-000003,BR_00000001,15,0030124731-000010,0030124731-000010,0030124731-000010,BR_00000006,normal_real,48.0,1290.0,0.9,830.0,850.0,DC54D+Z,,,,,,,53,02,2026-06-30
initial-000003,BR_00000001,16,0002002195-000180,0002002195-000180,0002002195-000180,BR_00000006,normal_real,25.0,1258.0,0.8,830.0,850.0,DC53D+Z,,,,,,,54,02,2026-06-30
initial-000003,BR_00000001,17,0030123916-000030,0030123916-000030,0030123916-000030,BR_00000006,actual_transition,69.0,1250.0,1.0,700.0,840.0,DC51D+Z,,,,,,,55,02,2026-06-30
initial-000003,BR_00000001,18,0010020206-000080,0010020206-000080,0010020206-000080,BR_00000006,actual_transition,122.45,1250.0,1.0,700.0,840.0,DC51D+Z,,,,,,,56,02,2026-06-30
initial-000003,BR_00000001,19,0002002195-000100,0002002195-000100,0002002195-000100,BR_00000006,normal_real,230.0,1220.0,1.0,830.0,850.0,DC53D+Z,,,,,,,57,02,2026-06-30
initial-000003,BR_00000001,20,0030122476-000070,0030122476-000070,0030122476-000070,BR_00000006,normal_real,24.0,1205.0,1.0,830.0,850.0,DC56D+Z,,,,,,,58,02,2026-06-30
